id,drought_stress_factor_1_to_5,growth_scenario,market_gravity
1_0,2,low_growth,0
1_1,2,low_growth,0
4_0,1,low_growth,0
4_1,1,low_growth,0
4_2,1,low_growth,0
4_3,1,low_growth,0
4_4,1,low_growth,0
4_5,1,low_growth,0
4_6,1,low_growth,0
4_7,4,low_growth,0
4_8,4,low_growth,0
6_0,1,low_growth,0
6_1,3,low_growth,0
6_10,3,low_growth,0
6_11,3,low_growth,0
6_12,3,low_growth,0
6_13,3,low_growth,0
6_2,3,low_growth,0
6_3,3,low_growth,0
6_4,3,low_growth,0
6_5,2,low_growth,0
6_6,3,low_growth,0
6_7,3,low_growth,0
6_8,3,low_growth,0
6_9,3,low_growth,0
8_0,4,low_growth,0
8_1,4,low_growth,0
12_0,3,low_growth,0
12_1,3,low_growth,0
13_0,1,low_growth,0
13_1,2,low_growth,0
13_2,1,low_growth,0
13_3,2,low_growth,0
13_4,2,low_growth,0
13_5,1,low_growth,0
13_6,2,low_growth,0
13_7,1,low_growth,0
13_8,1,low_growth,0
17_0,1,low_growth,0
17_1,1,low_growth,0
17_10,1,low_growth,0
17_2,1,low_growth,0
17_3,1,low_growth,0
17_4,1,low_growth,0
17_5,1,low_growth,0
17_6,1,low_growth,0
17_7,1,low_growth,0
17_8,1,low_growth,0
17_9,1,low_growth,0
19_0,1,low_growth,0
19_1,1,low_growth,0
19_2,1,low_growth,0
19_3,1,low_growth,0
19_4,1,low_growth,0
19_5,1,low_growth,0
19_6,4,low_growth,0
19_7,1,low_growth,0
19_8,1,low_growth,0
21_0,1,low_growth,0
21_1,5,low_growth,0
25_0,2,low_growth,0
27_0,5,low_growth,0
29_0,4,low_growth,0
31_0,2,low_growth,0
31_1,1,low_growth,0
31_2,2,low_growth,0
31_3,2,low_growth,0
31_4,1,low_growth,0
31_5,1,low_growth,0
32_0,1,low_growth,0
32_1,4,low_growth,0
32_2,4,low_growth,0
32_3,4,low_growth,0
32_4,4,low_growth,0
34_0,5,low_growth,0
34_1,4,low_growth,0
34_2,4,low_growth,0
34_3,4,low_growth,0
34_4,3,low_growth,0
34_5,3,low_growth,0
36_0,1,low_growth,0
36_1,1,low_growth,0
36_2,1,low_growth,0
36_3,1,low_growth,0
36_4,1,low_growth,0
36_5,1,low_growth,0
37_0,4,low_growth,0
37_1,4,low_growth,0
37_2,4,low_growth,0
37_3,4,low_growth,0
38_0,2,low_growth,0
38_1,2,low_growth,0
38_2,2,low_growth,0
38_3,1,low_growth,0
38_4,1,low_growth,0
38_5,1,low_growth,0
39_0,3,low_growth,0
39_1,1,low_growth,0
39_2,1,low_growth,0
40_0,3,low_growth,0
41_0,1,low_growth,0
41_1,1,low_growth,0
41_2,1,low_growth,0
41_3,1,low_growth,0
41_4,1,low_growth,0
41_5,1,low_growth,0
41_6,1,low_growth,0
41_7,1,low_growth,0
41_8,1,low_growth,0
41_9,1,low_growth,0
42_0,1,low_growth,0
42_1,3,low_growth,0
42_2,3,low_growth,0
42_3,2,low_growth,0
42_4,1,low_growth,0
42_5,2,low_growth,0
42_6,1,low_growth,0
45_0,3,low_growth,0
45_1,3,low_growth,0
45_2,3,low_growth,0
47_0,2,low_growth,0
47_1,2,low_growth,0
48_0,1,low_growth,0
48_1,3,low_growth,0
48_10,2,low_growth,0
48_11,2,low_growth,0
48_12,2,low_growth,0
48_13,2,low_growth,0
48_14,2,low_growth,0
48_15,2,low_growth,0
48_16,2,low_growth,0
48_17,2,low_growth,0
48_18,2,low_growth,0
48_19,2,low_growth,0
48_2,3,low_growth,0
48_20,2,low_growth,0
48_21,2,low_growth,0
48_22,2,low_growth,0
48_23,2,low_growth,0
48_24,1,low_growth,0
48_25,3,low_growth,0
48_26,3,low_growth,0
48_27,1,low_growth,0
48_28,1,low_growth,0
48_29,3,low_growth,0
48_3,3,low_growth,0
48_30,2,low_growth,0
48_31,2,low_growth,0
48_32,2,low_growth,0
48_33,2,low_growth,0
48_4,3,low_growth,0
48_5,3,low_growth,0
48_6,2,low_growth,0
48_7,2,low_growth,0
48_8,2,low_growth,0
48_9,2,low_growth,0
49_0,1,low_growth,0
49_1,1,low_growth,0
49_2,1,low_growth,0
49_3,2,low_growth,0
51_0,3,low_growth,0
51_1,3,low_growth,0
51_10,3,low_growth,0
51_11,3,low_growth,0
51_12,3,low_growth,0
51_13,4,low_growth,0
51_14,4,low_growth,0
51_15,2,low_growth,0
51_16,2,low_growth,0
51_17,2,low_growth,0
51_18,3,low_growth,0
51_19,3,low_growth,0
51_2,3,low_growth,0
51_20,3,low_growth,0
51_21,3,low_growth,0
51_22,2,low_growth,0
51_23,2,low_growth,0
51_24,3,low_growth,0
51_25,3,low_growth,0
51_26,3,low_growth,0
51_27,4,low_growth,0
51_28,4,low_growth,0
51_29,3,low_growth,0
51_3,3,low_growth,0
51_30,3,low_growth,0
51_31,3,low_growth,0
51_32,3,low_growth,0
51_33,3,low_growth,0
51_34,3,low_growth,0
51_35,3,low_growth,0
51_36,3,low_growth,0
51_37,3,low_growth,0
51_38,4,low_growth,0
51_39,4,low_growth,0
51_4,3,low_growth,0
51_40,4,low_growth,0
51_41,3,low_growth,0
51_42,3,low_growth,0
51_43,3,low_growth,0
51_44,3,low_growth,0
51_45,4,low_growth,0
51_46,4,low_growth,0
51_47,2,low_growth,0
51_48,2,low_growth,0
51_49,2,low_growth,0
51_5,2,low_growth,0
51_50,2,low_growth,0
51_51,4,low_growth,0
51_6,2,low_growth,0
51_7,3,low_growth,0
51_8,3,low_growth,0
51_9,3,low_growth,0
53_0,1,low_growth,0
53_1,1,low_growth,0
53_2,1,low_growth,0
53_3,1,low_growth,0
53_4,1,low_growth,0
53_5,1,low_growth,0
53_6,1,low_growth,0
53_7,1,low_growth,0
56_0,2,low_growth,0
56_1,2,low_growth,0
1_0,1,low_growth,25
1_1,3,low_growth,25
4_0,1,low_growth,25
4_1,1,low_growth,25
4_2,1,low_growth,25
4_3,1,low_growth,25
4_4,1,low_growth,25
4_5,1,low_growth,25
4_6,1,low_growth,25
4_7,1,low_growth,25
4_8,4,low_growth,25
6_0,2,low_growth,25
6_1,2,low_growth,25
6_10,3,low_growth,25
6_11,3,low_growth,25
6_12,3,low_growth,25
6_13,2,low_growth,25
6_2,2,low_growth,25
6_3,2,low_growth,25
6_4,3,low_growth,25
6_5,3,low_growth,25
6_6,3,low_growth,25
6_7,3,low_growth,25
6_8,2,low_growth,25
6_9,3,low_growth,25
8_0,5,low_growth,25
8_1,5,low_growth,25
12_0,5,low_growth,25
12_1,5,low_growth,25
13_0,1,low_growth,25
13_1,1,low_growth,25
13_2,4,low_growth,25
13_3,4,low_growth,25
13_4,4,low_growth,25
13_5,3,low_growth,25
13_6,3,low_growth,25
13_7,3,low_growth,25
13_8,3,low_growth,25
17_0,5,low_growth,25
17_1,5,low_growth,25
17_10,4,low_growth,25
17_2,5,low_growth,25
17_3,5,low_growth,25
17_4,5,low_growth,25
17_5,4,low_growth,25
17_6,4,low_growth,25
17_7,4,low_growth,25
17_8,4,low_growth,25
17_9,4,low_growth,25
19_0,1,low_growth,25
19_1,1,low_growth,25
19_2,1,low_growth,25
19_3,1,low_growth,25
19_4,1,low_growth,25
19_5,1,low_growth,25
19_6,1,low_growth,25
19_7,1,low_growth,25
19_8,1,low_growth,25
21_0,5,low_growth,25
21_1,5,low_growth,25
25_0,3,low_growth,25
27_0,5,low_growth,25
29_0,1,low_growth,25
31_0,1,low_growth,25
31_1,2,low_growth,25
31_2,1,low_growth,25
31_3,1,low_growth,25
31_4,2,low_growth,25
31_5,2,low_growth,25
32_0,1,low_growth,25
32_1,1,low_growth,25
32_2,1,low_growth,25
32_3,4,low_growth,25
32_4,4,low_growth,25
34_0,5,low_growth,25
34_1,5,low_growth,25
34_2,5,low_growth,25
34_3,5,low_growth,25
34_4,5,low_growth,25
34_5,5,low_growth,25
36_0,5,low_growth,25
36_1,5,low_growth,25
36_2,1,low_growth,25
36_3,1,low_growth,25
36_4,5,low_growth,25
36_5,1,low_growth,25
37_0,5,low_growth,25
37_1,5,low_growth,25
37_2,5,low_growth,25
37_3,5,low_growth,25
38_0,1,low_growth,25
38_1,1,low_growth,25
38_2,1,low_growth,25
38_3,2,low_growth,25
38_4,2,low_growth,25
38_5,1,low_growth,25
39_0,3,low_growth,25
39_1,3,low_growth,25
39_2,1,low_growth,25
40_0,2,low_growth,25
41_0,1,low_growth,25
41_1,1,low_growth,25
41_2,1,low_growth,25
41_3,3,low_growth,25
41_4,3,low_growth,25
41_5,1,low_growth,25
41_6,3,low_growth,25
41_7,1,low_growth,25
41_8,1,low_growth,25
41_9,3,low_growth,25
42_0,4,low_growth,25
42_1,4,low_growth,25
42_2,4,low_growth,25
42_3,4,low_growth,25
42_4,4,low_growth,25
42_5,4,low_growth,25
42_6,4,low_growth,25
45_0,3,low_growth,25
45_1,4,low_growth,25
45_2,4,low_growth,25
47_0,2,low_growth,25
47_1,2,low_growth,25
48_0,4,low_growth,25
48_1,4,low_growth,25
48_10,4,low_growth,25
48_11,4,low_growth,25
48_12,4,low_growth,25
48_13,4,low_growth,25
48_14,4,low_growth,25
48_15,4,low_growth,25
48_16,4,low_growth,25
48_17,4,low_growth,25
48_18,4,low_growth,25
48_19,4,low_growth,25
48_2,4,low_growth,25
48_20,4,low_growth,25
48_21,4,low_growth,25
48_22,4,low_growth,25
48_23,4,low_growth,25
48_24,4,low_growth,25
48_25,4,low_growth,25
48_26,4,low_growth,25
48_27,4,low_growth,25
48_28,4,low_growth,25
48_29,4,low_growth,25
48_3,4,low_growth,25
48_30,4,low_growth,25
48_31,4,low_growth,25
48_32,4,low_growth,25
48_33,4,low_growth,25
48_4,4,low_growth,25
48_5,4,low_growth,25
48_6,4,low_growth,25
48_7,4,low_growth,25
48_8,4,low_growth,25
48_9,4,low_growth,25
49_0,3,low_growth,25
49_1,3,low_growth,25
49_2,3,low_growth,25
49_3,3,low_growth,25
51_0,4,low_growth,25
51_1,4,low_growth,25
51_10,4,low_growth,25
51_11,4,low_growth,25
51_12,4,low_growth,25
51_13,4,low_growth,25
51_14,3,low_growth,25
51_15,4,low_growth,25
51_16,4,low_growth,25
51_17,4,low_growth,25
51_18,4,low_growth,25
51_19,4,low_growth,25
51_2,4,low_growth,25
51_20,4,low_growth,25
51_21,3,low_growth,25
51_22,3,low_growth,25
51_23,1,low_growth,25
51_24,1,low_growth,25
51_25,3,low_growth,25
51_26,2,low_growth,25
51_27,2,low_growth,25
51_28,3,low_growth,25
51_29,2,low_growth,25
51_3,4,low_growth,25
51_30,2,low_growth,25
51_31,4,low_growth,25
51_32,4,low_growth,25
51_33,4,low_growth,25
51_34,4,low_growth,25
51_35,3,low_growth,25
51_36,3,low_growth,25
51_37,4,low_growth,25
51_38,3,low_growth,25
51_39,3,low_growth,25
51_4,4,low_growth,25
51_40,3,low_growth,25
51_41,4,low_growth,25
51_42,4,low_growth,25
51_43,4,low_growth,25
51_44,4,low_growth,25
51_45,4,low_growth,25
51_46,5,low_growth,25
51_47,5,low_growth,25
51_48,5,low_growth,25
51_49,4,low_growth,25
51_5,2,low_growth,25
51_50,3,low_growth,25
51_51,4,low_growth,25
51_6,2,low_growth,25
51_7,2,low_growth,25
51_8,4,low_growth,25
51_9,4,low_growth,25
53_0,1,low_growth,25
53_1,1,low_growth,25
53_2,5,low_growth,25
53_3,5,low_growth,25
53_4,5,low_growth,25
53_5,1,low_growth,25
53_6,1,low_growth,25
53_7,1,low_growth,25
56_0,2,low_growth,25
56_1,2,low_growth,25
1_0,1,low_growth,50
1_1,3,low_growth,50
4_0,1,low_growth,50
4_1,1,low_growth,50
4_2,1,low_growth,50
4_3,5,low_growth,50
4_4,1,low_growth,50
4_5,1,low_growth,50
4_6,1,low_growth,50
4_7,5,low_growth,50
4_8,5,low_growth,50
6_0,3,low_growth,50
6_1,3,low_growth,50
6_10,3,low_growth,50
6_11,2,low_growth,50
6_12,3,low_growth,50
6_13,3,low_growth,50
6_2,2,low_growth,50
6_3,2,low_growth,50
6_4,2,low_growth,50
6_5,2,low_growth,50
6_6,3,low_growth,50
6_7,3,low_growth,50
6_8,3,low_growth,50
6_9,2,low_growth,50
8_0,5,low_growth,50
8_1,5,low_growth,50
12_0,5,low_growth,50
12_1,5,low_growth,50
13_0,2,low_growth,50
13_1,3,low_growth,50
13_2,4,low_growth,50
13_3,3,low_growth,50
13_4,4,low_growth,50
13_5,3,low_growth,50
13_6,4,low_growth,50
13_7,3,low_growth,50
13_8,3,low_growth,50
17_0,5,low_growth,50
17_1,4,low_growth,50
17_10,4,low_growth,50
17_2,4,low_growth,50
17_3,5,low_growth,50
17_4,4,low_growth,50
17_5,5,low_growth,50
17_6,5,low_growth,50
17_7,5,low_growth,50
17_8,5,low_growth,50
17_9,5,low_growth,50
19_0,1,low_growth,50
19_1,1,low_growth,50
19_2,1,low_growth,50
19_3,1,low_growth,50
19_4,1,low_growth,50
19_5,1,low_growth,50
19_6,1,low_growth,50
19_7,1,low_growth,50
19_8,2,low_growth,50
21_0,5,low_growth,50
21_1,5,low_growth,50
25_0,3,low_growth,50
27_0,2,low_growth,50
29_0,1,low_growth,50
31_0,1,low_growth,50
31_1,2,low_growth,50
31_2,1,low_growth,50
31_3,1,low_growth,50
31_4,1,low_growth,50
31_5,1,low_growth,50
32_0,1,low_growth,50
32_1,1,low_growth,50
32_2,1,low_growth,50
32_3,1,low_growth,50
32_4,1,low_growth,50
34_0,5,low_growth,50
34_1,1,low_growth,50
34_2,5,low_growth,50
34_3,5,low_growth,50
34_4,5,low_growth,50
34_5,5,low_growth,50
36_0,5,low_growth,50
36_1,5,low_growth,50
36_2,5,low_growth,50
36_3,1,low_growth,50
36_4,5,low_growth,50
36_5,5,low_growth,50
37_0,5,low_growth,50
37_1,5,low_growth,50
37_2,5,low_growth,50
37_3,5,low_growth,50
38_0,2,low_growth,50
38_1,2,low_growth,50
38_2,2,low_growth,50
38_3,2,low_growth,50
38_4,2,low_growth,50
38_5,2,low_growth,50
39_0,3,low_growth,50
39_1,3,low_growth,50
39_2,3,low_growth,50
40_0,2,low_growth,50
41_0,3,low_growth,50
41_1,1,low_growth,50
41_2,1,low_growth,50
41_3,1,low_growth,50
41_4,3,low_growth,50
41_5,3,low_growth,50
41_6,3,low_growth,50
41_7,1,low_growth,50
41_8,1,low_growth,50
41_9,1,low_growth,50
42_0,4,low_growth,50
42_1,4,low_growth,50
42_2,4,low_growth,50
42_3,4,low_growth,50
42_4,4,low_growth,50
42_5,4,low_growth,50
42_6,4,low_growth,50
45_0,3,low_growth,50
45_1,3,low_growth,50
45_2,3,low_growth,50
47_0,5,low_growth,50
47_1,5,low_growth,50
